t1,t0,S0,S1,F,K,r_diff,FX_EWI,sigma,IZ,P_breach,LossAlert,h,eff_P0,eff_P1,eff_P2,cancelled,unwind_P1,unwind_P2,pnl_P0,pnl_P1,pnl_P2,cost_P1,cost_P2
2024-11-29,2024-09-02,1337.550048828125,1393.300048828125,1332.7280253423007,1343.7452019585503,-0.014600000000000002,50.887563426455664,0.09228732559300386,0,0.5379393679622813,0.2737442370676806,0.5,1393.300048828125,1330.7280253423007,1362.0140370852127,0,0.0,0.0,24777423.43478735,-6508588.308124785,9134417.563331226,1000000.0,500000.0
2024-12-31,2024-10-02,1324.030029296875,1467.3900146484375,1320.5929458050787,1342.4196079799108,-0.010500000000000002,74.71744785261363,0.0969609003652977,0,0.6062893907795129,0.4530039593916114,1.0,1467.3900146484375,1318.5929458050787,1318.5929458050787,0,0.0,0.0,62485203.33426336,-11913331.087416055,-11913331.087416055,1000000.0,1000000.0
2025-01-31,2024-11-04,1379.3399658203125,1441.6600341796875,1375.8612625141689,1345.2466328938801,-0.0102,28.774829143235138,0.07433397784542758,0,0.26528382832093644,0.07633496834398269,0.0,1441.6600341796875,1373.8612625141689,1441.6600341796875,0,0.0,0.0,48206700.642903686,14307314.810144363,48206700.642903686,1000000.0,0.0
2025-02-28,2024-12-02,1399.8599853515625,1449.8599853515625,1396.2943891674977,1352.6391722664,-0.010299999999999997,54.95810010902119,0.09852797478657131,1,0.18099654700007092,0.09947226349417057,0.0,1449.8599853515625,1394.2943891674977,1449.8599853515625,0,0.0,0.0,48610406.542581245,20827608.45054884,48610406.542581245,1000000.0,0.0
2025-03-31,2025-01-02,1473.52001953125,1471.9599609375,1469.218516332381,1364.6136164589534,-0.011799999999999995,55.1666856575243,0.09700938930248175,0,0.0871351537447871,0.04806957636358721,0.0,1471.9599609375,1467.218516332381,1471.9599609375,0,0.0,0.0,53673172.2392733,51302449.93671374,53673172.2392733,1000000.0,0.0
2025-04-30,2025-01-30,1443.3199462890625,1423.75,1439.2134173342827,1373.7507585797991,-0.011500000000000007,71.72692245603656,0.1317251712917616,1,0.17044600447395317,0.12225567345844499,0.0,1423.75,1437.2134173342827,1423.75,0,0.0,0.0,24999620.71010043,31731329.377241764,24999620.71010043,1000000.0,0.0
2025-05-29,2025-02-28,1449.8599853515625,1370.4100341796875,1445.3762520965167,1383.233655657087,-0.0125,24.591636264544988,0.08948754181736793,1,0.11942588133480811,0.029368778343583136,0.0,1370.4100341796875,1443.3762520965167,1370.4100341796875,0,0.0,0.0,-6411810.738699728,30071298.21971489,-6411810.738699728,1000000.0,0.0
2025-06-30,2025-03-31,1471.9599609375,1348.5,1466.971006813445,1393.2505599733383,-0.0137,22.086649787382363,0.08589455643441675,0,0.12842214776055524,0.028364150025308538,0.0,1348.5,1464.971006813445,1348.5,0,0.0,0.0,-22375279.98666917,35860223.42005333,-22375279.98666917,1000000.0,0.0
2025-07-31,2025-05-05,1374.3699951171875,1391.510009765625,1369.0999107759087,1399.062267000713,-0.015499999999999996,86.97793280765605,0.15891069917234438,0,0.5842293749048122,0.5081506331472965,1.0,1391.510009765625,1367.0999107759087,1367.0999107759087,0,0.0,0.0,-3776128.6175440317,-15981178.112402176,-15981178.112402176,1000000.0,1000000.0
2025-08-31,2025-06-03,1377.719970703125,1388.8399658203125,1372.028321309017,1400.77004375155,-0.016700000000000003,16.01930060611417,0.13258042579833298,0,0.5938412044484214,0.09512920766356167,0.0,1388.8399658203125,1370.028321309017,1388.8399658203125,0,0.0,0.0,-5965038.96561876,-15370861.221266523,-5965038.96561876,1000000.0,0.0
2025-09-30,2025-07-03,1357.0999755859375,1403.1500244140625,1351.2252292413193,1398.8639710441469,-0.0175,35.632835543999,0.11880991593884144,1,0.4789375498480996,0.1706590294958316,0.5,1403.1500244140625,1349.2252292413193,1376.187626827691,0,0.0,0.0,2143026.6849578177,-24819370.901413776,-11338172.108227924,1000000.0,500000.0
2025-10-31,2025-08-04,1383.5899658203125,1424.02001953125,1377.941402272204,1399.266550215464,-0.0165,42.752287234549705,0.07814958711878237,0,0.6076698468095585,0.25979275834577065,0.5,1424.02001953125,1375.941402272204,1399.980710901727,0,0.0,0.0,12376734.657893052,-11662573.971629968,357080.34313154256,1000000.0,500000.0
2025-11-28,2025-09-01,1392.93994140625,1461.4000244140625,1387.8032491337706,1403.254644969153,-0.0149,61.436221526580326,0.0739865788848716,1,0.4025768644489672,0.24732801425762846,0.5,1461.4000244140625,1385.8032491337706,1423.6016367739167,0,0.0,0.0,29072689.722454697,-8725697.917691264,10173495.902381774,1000000.0,500000.0
2025-12-31,2025-10-01,1401.8199462890625,1437.9100341796875,1397.307464104648,1408.7221035427517,-0.013000000000000001,61.21565699224697,0.07129934592359577,1,0.38647183360877857,0.23658127203359733,0.5,1437.9100341796875,1395.307464104648,1416.6087491421677,0,0.0,0.0,14593965.318467895,-6707319.719051839,3943322.799707971,1000000.0,500000.0
2026-01-30,2025-10-31,1424.02001953125,1428.760009765625,1419.8579715708634,1412.8649209643168,-0.011800000000000001,46.671366002296445,0.06100097832632985,0,0.40340170290150096,0.18827308522065603,0.5,1428.760009765625,1417.8579715708634,1423.3089906682442,0,0.0,0.0,7947544.400654124,2496525.3032733016,5222034.851963713,1000000.0,500000.0
2026-02-27,2025-11-28,1461.4000244140625,1432.3199462890625,1457.6354886466174,1417.4559917147196,-0.0104,91.71057696256266,0.08675792365856759,0,0.25647927089617695,0.23521861912825792,0.5,1432.3199462890625,1455.6354886466174,1443.97771746784,0,0.0,0.0,7431977.287171435,19089748.465948902,13260862.876560168,1000000.0,500000.0
2026-03-31,2026-01-02,1443.6400146484375,1503.3299560546875,1440.6349653043708,1418.8974609375,-0.008399999999999998,77.65070853038351,0.09570425815246865,1,0.2564311800531692,0.1991206282041094,0.5,1503.3299560546875,1438.6349653043708,1470.9824606795291,0,0.0,0.0,42216247.55859375,9868752.18343539,26042499.87101457,1000000.0,500000.0
2026-04-30,2026-02-03,1452.5400390625,1474.010009765625,1449.5888923032553,1419.6038895864335,-0.008200000000000006,78.21912410644163,0.09920241327931624,1,0.2321252644034998,0.18156634864617927,0.5,1474.010009765625,1447.5888923032553,1460.7994510344402,0,0.0,0.0,27203060.08959574,13992501.358410891,20597780.724003315,1000000.0,500000.0
2026-05-31,2026-03-04,1483.0699462890625,1506.8399658203125,1480.2037556099115,1419.9395635695685,-0.007800000000000005,65.38884603868199,0.08633330174425752,0,0.1799192444600345,0.11764711775393183,0.0,1506.8399658203125,1478.2037556099115,1506.8399658203125,0,0.0,0.0,43450201.125372015,29132096.0201715,43450201.125372015,1000000.0,0.0
2026-06-30,2026-04-02,1509.219970703125,1548.6099853515625,1506.265921554552,1422.7646818615142,-0.0079,24.19423191843827,0.1347935051470669,1,0.14751473129555104,0.035690056203506654,0.0,1548.6099853515625,1504.265921554552,1548.6099853515625,0,0.0,0.0,62922651.74502415,40750619.84651893,62922651.74502415,1000000.0,0.0
2026-07-06,2026-04-08,1477.5999755859375,1528.760009765625,1474.707817362125,1423.8611493791852,-0.0079,25.097500549105213,0.12145787751810831,0,0.28424812141844813,0.07133917383381627,0.0,1528.760009765625,1472.707817362125,1528.760009765625,0,0.0,0.0,52449430.193219885,24423333.991469916,52449430.193219885,1000000.0,0.0
